map_name,algo_name,time_sec,solution_length,expanded_states,success
maps\level01.tmx,BFS,1.2131,26,76119,1
maps\level01.tmx,DFS,0.8044,196,148859,1
maps\level01.tmx,A*,0.4094,26,33520,1
maps\level02.tmx,BFS,14.3048,46,663180,1
maps\level02.tmx,DFS,5.1409,0,686162,0
maps\level02.tmx,A*,18.7231,46,929016,1
maps\level03.tmx,BFS,3.5425,36,179637,1
maps\level03.tmx,DFS,1.2148,197,131082,1
maps\level03.tmx,A*,2.2907,36,151137,1
maps\level04.tmx,BFS,0.0324,101,2208,1
maps\level04.tmx,DFS,0.0268,199,3318,1
maps\level04.tmx,A*,0.1304,101,12529,1
maps\level05.tmx,BFS,0.5012,121,30363,1
maps\level05.tmx,DFS,0.2938,0,33821,0
maps\level05.tmx,A*,3.9404,121,314619,1
maps\level06.tmx,BFS,0.891,32,43373,1
maps\level06.tmx,DFS,0.1113,183,14567,1
maps\level06.tmx,A*,1.1507,32,84277,1
maps\level07.tmx,BFS,0.3568,36,22882,1
maps\level07.tmx,DFS,0.4137,166,57602,1
maps\level07.tmx,A*,0.522,36,41862,1
maps\level08.tmx,BFS,0.7052,44,40828,1
maps\level08.tmx,DFS,0.0088,170,1074,1
maps\level08.tmx,A*,1.3468,44,101281,1
maps\level09.tmx,BFS,4.4965,41,220026,1
maps\level09.tmx,DFS,0.3147,171,36852,1
maps\level09.tmx,A*,12.4958,41,612761,1
maps\level10.tmx,BFS,4.8838,41,239797,1
maps\level10.tmx,DFS,8.7483,0,965788,0
maps\level10.tmx,A*,9.8323,41,473988,1
maps\level11.tmx,BFS,0.7509,48,42795,1
maps\level11.tmx,DFS,0.7603,199,102141,1
maps\level11.tmx,A*,5.0667,48,315180,1
maps\level14.tmx,BFS,0.8761,30,41968,1
maps\level14.tmx,DFS,0.2743,199,29999,1
maps\level14.tmx,A*,0.4505,30,29008,1
maps\level15.tmx,BFS,0.414,35,22783,1
maps\level15.tmx,DFS,0.2105,198,22053,1
maps\level15.tmx,A*,0.6957,35,52772,1
maps\map_01.tmx,BFS,0.2703,45,5721,1
maps\map_01.tmx,DFS,0.1004,65,4056,1
maps\map_01.tmx,A*,2.1129,45,43360,1
maps\map_02.tmx,BFS,0.4299,33,11705,1
maps\map_02.tmx,DFS,0.5444,101,23337,1
maps\map_02.tmx,A*,0.9386,33,31059,1
maps\map_03.tmx,BFS,0.7925,58,23356,1
maps\map_03.tmx,DFS,0.6227,155,36920,1
maps\map_03.tmx,A*,7.9579,58,208809,1
maps\map_04.tmx,BFS,3.2873,50,102687,1
maps\map_04.tmx,DFS,3.5221,199,266721,1
maps\map_04.tmx,A*,16.2648,50,542476,1
maps\map_05.tmx,BFS,0.693,46,15352,1
maps\map_05.tmx,DFS,0.3641,134,27244,1
maps\map_05.tmx,A*,1.9895,46,71716,1
maps\map_06.tmx,BFS,1.0992,61,35979,1
maps\map_06.tmx,DFS,2.3164,191,125891,1
maps\map_06.tmx,A*,7.7955,61,261799,1
maps\map_07.tmx,BFS,0.3671,55,10681,1
maps\map_07.tmx,DFS,0.1759,177,11289,1
maps\map_08.tmx,BFS,25.1872,0,566293,0
maps\map_08.tmx,DFS,10.7369,0,643286,0
maps\map_08.tmx,A*,4.4398,0,100001,0
maps\map_07.tmx,A*,0.3869,55,9162,1
maps\map_09.tmx,BFS,2.4271,72,80241,1
maps\map_09.tmx,DFS,2.5304,0,171058,0
maps\map_09.tmx,A*,3.0184,72,77453,1
maps\map_10.tmx,BFS,7.9968,56,222637,1
maps\map_10.tmx,DFS,4.5869,198,530861,1
maps\map_10.tmx,A*,2.7453,0,100001,0
maps\level01.tmx,A*,0.7728,26,13284,1
maps\map_01.tmx,BFS,0.7517,45,5721,1
maps\level01.tmx,BFS,2.2244,26,76119,1
maps\level01.tmx,A*,0.9938,26,13284,1
maps\level10.tmx,BFS,8.7354,41,239797,1
maps\level15.tmx,BFS,1.0933,35,22783,1
maps\map_08.tmx,DFS,8.8048,0,643286,0
maps\level14.tmx,BFS,1.4696,30,41968,1
